Timestep,Living Population,Active Infections,Economic Productivity,Population Change
513,77622,4050,9138.890071115651,-9
514,77623,4064,9112.575690341464,1
515,77616,4055,9084.657973844409,-7
516,77616,4022,9063.336803457376,0
517,77614,4000,9029.537578665446,-2
518,77613,4030,9006.32957655646,-1
519,77601,4048,8980.540699985639,-12
520,77611,4036,8947.85528108743,10
521,77607,4012,8925.014172449864,-4
522,77609,3997,8896.067710239127,2
523,77613,4007,8859.832332328055,4
524,77624,4049,8832.712389673196,11
525,77628,4019,8801.436615138486,4
526,77623,3984,8777.642368418883,-5
527,77631,3981,8754.297483415961,8
528,77629,3958,8723.394502645282,-2
529,77633,3951,8707.138240878774,4
530,77628,3914,8682.417526975312,-5
531,77628,3897,8654.56733936547,0
532,77625,3909,8629.464827792963,-3
533,77627,3898,8604.693360701187,2
534,77622,3858,8574.700037981396,-5
535,77627,3831,8556.022981970329,5
536,77637,3811,8530.377035181942,10
537,77640,3765,8513.043431105794,3
538,77633,3767,8497.903791413617,-7
539,77650,3774,8471.619465766815,17
540,77649,3790,8445.680920697923,-1
541,77659,3767,8424.412671515965,10
542,77665,3768,8407.908776288627,6
543,77675,3775,8389.71815724897,10
544,77673,3755,8367.36003891626,-2
545,77683,3745,8345.372563899124,10
546,77681,3765,8316.718604926496,-2
547,77685,3718,8288.895927871015,4
548,77686,3712,8260.844107739395,1
549,77694,3727,8240.768870839182,8
550,77692,3729,8218.326692551846,-2
551,77707,3723,8197.270181134747,15
552,77713,3768,8181.705215596853,6
553,77715,3764,8159.2348829708435,2
554,77716,3794,8134.450330131739,1
555,77719,3788,8110.21280591513,3
556,77730,3754,8093.015206429159,11
557,77734,3732,8070.178453509754,4
558,77735,3701,8045.407383581855,1
559,77740,3690,8016.659536290895,5
560,77738,3689,7992.381925586086,-2
561,77734,3709,7970.442795883543,-4
562,77740,3756,7950.067483225353,6
563,77758,3741,7922.932293104282,18
564,77759,3763,7904.060028549374,1
565,77753,3724,7891.681599176494,-6
566,77753,3708,7875.744395372174,0
567,77758,3701,7853.018039480585,5
568,77757,3666,7842.489008898172,-1
569,77767,3649,7821.215601017313,10
570,77775,3668,7803.35397501983,8
571,77776,3690,7785.23786063506,1
572,77779,3689,7773.65460278185,3
573,77788,3644,7753.360629716842,9
574,77799,3662,7734.904183175045,11
575,77806,3658,7707.822663860201,7
576,77800,3677,7684.244366993171,-6
577,77810,3664,7662.997103171426,10
578,77819,3665,7644.184350290296,9
579,77821,3665,7628.77046499865,2
580,77831,3699,7599.821323147521,10
581,77829,3708,7573.467762159201,-2
582,77839,3727,7554.394601363391,10
583,77845,3733,7535.190965368451,6
584,77851,3715,7523.713293286293,6
585,77853,3746,7504.220818145846,2
586,77865,3761,7487.656482307314,12
587,77886,3775,7469.876378260335,21
588,77894,3754,7446.38817404492,8
589,77901,3747,7429.314796309404,7
590,77902,3770,7405.167127524999,1
591,77903,3750,7386.183338659313,1
592,77898,3747,7364.044487844727,-5
593,77905,3725,7345.8605556001485,7
594,77898,3716,7328.78102196919,-7
595,77899,3731,7307.929104941911,1
596,77904,3720,7291.946192924364,5
597,77921,3725,7273.047368966768,17
598,77923,3702,7256.872787840366,2
599,77928,3713,7242.037254350052,5
600,77925,3696,7223.226000733763,-3
601,77943,3679,7211.63988345367,18
602,77952,3692,7194.819123954132,9
603,77957,3692,7177.007735384862,5
604,77955,3726,7157.40482544921,-2
605,77974,3729,7138.080539039393,19
606,77970,3703,7121.812003190041,-4
607,77982,3720,7106.841016964385,12
608,77986,3704,7089.936527190617,4
609,77988,3700,7070.169791598074,2
610,77985,3710,7054.695258305867,-3
611,77987,3688,7034.07289075723,2
612,77988,3688,7015.823904371434,1
613,77997,3675,7005.510950588058,9
614,77999,3661,6991.540037249681,2
615,78001,3671,6971.233467563709,2
616,78013,3657,6945.695384869816,12
617,78024,3659,6929.8545165412725,11
618,78034,3626,6910.163364897643,10
619,78046,3642,6898.543487169351,12
620,78051,3644,6882.912496893637,5
621,78057,3616,6860.175633234095,6
622,78067,3613,6845.00227458984,10
623,78067,3630,6826.018645357202,0
624,78085,3629,6808.949615063605,18
625,78085,3605,6797.648408960352,0
626,78091,3603,6781.245697854574,6
627,78100,3573,6766.824334586456,9
628,78102,3531,6745.44027073222,2
629,78106,3501,6719.651218071339,4
630,78113,3514,6701.126526997085,7
631,78121,3501,6691.4694597290545,8
632,78136,3507,6678.826701112061,15
633,78138,3456,6663.844213785057,2
634,78144,3437,6642.423279562657,6
635,78150,3425,6624.328838620792,6
636,78158,3430,6610.125170275694,8
637,78167,3404,6594.056958444407,9
638,78177,3417,6580.2179355492535,10
639,78184,3426,6561.217322162726,7
640,78198,3428,6547.890060003134,14
641,78200,3418,6531.961594932838,2
642,78203,3413,6521.619457477566,3
643,78210,3414,6505.068581151646,7
644,78222,3411,6490.96548585632,12
645,78226,3403,6472.06048307947,4
646,78232,3413,6454.237594193574,6
647,78247,3403,6438.019270274715,15
648,78254,3381,6422.193148148389,7
649,78273,3379,6403.290880052226,19
650,78272,3378,6393.845535500058,-1
651,78280,3365,6378.288846408246,8
652,78289,3371,6363.193015855769,9
653,78296,3377,6347.126035005347,7
654,78304,3382,6335.65821424782,8
655,78310,3362,6320.957045187181,6
656,78316,3344,6304.230831868747,6
657,78320,3374,6294.787845130746,4
658,78324,3373,6284.808990933499,4
659,78340,3379,6269.396178111966,16
660,78351,3362,6249.6041497553215,11
661,78368,3351,6240.917096203824,17
662,78377,3360,6232.870417203159,9
663,78394,3360,6220.247108470893,17
664,78401,3342,6202.633151929728,7
665,78396,3321,6185.739573721168,-5
666,78412,3356,6174.280790009078,16
667,78429,3348,6157.361972565143,17
668,78425,3333,6141.540076401997,-4
669,78431,3304,6123.581136847466,6
670,78439,3262,6112.544346843926,8
671,78444,3243,6100.847432272722,5
672,78460,3257,6088.7870659731525,16
673,78474,3234,6068.477902644206,14
674,78480,3208,6056.518960931574,6
675,78488,3198,6038.322976524051,8
676,78508,3214,6026.9221430551615,20
677,78516,3210,6019.765494197746,8
678,78540,3209,6006.1513643655435,24
679,78544,3213,5993.267309575912,4
680,78555,3216,5979.429783755603,11
681,78563,3184,5968.043551750726,8
682,78578,3173,5952.504353712429,15
683,78582,3190,5940.332479620774,4
684,78593,3198,5928.4694013412645,11
685,78600,3238,5913.018949944952,7
686,78613,3249,5900.663091535846,13
687,78623,3242,5890.8132153803135,10
688,78626,3236,5874.347671268939,3
689,78637,3236,5863.323603665531,11
690,78649,3257,5852.372966378627,12
691,78667,3254,5844.471751062623,18
692,78669,3250,5833.585323039449,2
693,78681,3298,5818.144501668283,12
694,78677,3256,5809.920280621424,-4
695,78673,3263,5795.534588296733,-4
696,78674,3261,5779.93895878796,1
697,78680,3283,5761.307829773749,6
698,78693,3267,5743.461843142456,13
699,78705,3266,5734.1834285462855,12
700,78711,3270,5721.448599199657,6
701,78727,3262,5710.4894845628905,16
702,78735,3263,5704.551770695501,8
703,78753,3269,5694.061293345694,18
704,78771,3270,5675.187742337129,18
705,78781,3278,5670.4177821282165,10
706,78785,3246,5654.966596612209,4
707,78802,3244,5645.223350968498,17
708,78814,3230,5631.670837438354,12
709,78808,3233,5623.474885426186,-6
710,78816,3176,5611.202492908707,8
711,78821,3160,5596.088007291492,5
712,78825,3142,5583.291100013604,4
713,78841,3089,5579.785900440153,16
714,78851,3077,5572.5490639548825,10
715,78867,3100,5558.411024556564,16
716,78889,3102,5543.439647013953,22
717,78890,3092,5533.712145344763,1
718,78904,3075,5524.164764076548,14
719,78916,3059,5518.447903038005,12
720,78921,3056,5499.583998059079,5
721,78936,3041,5487.602179874688,15
722,78951,3018,5475.105197704845,15
723,78961,3034,5467.549999251837,10
724,78978,3001,5461.120768039373,17
725,78980,2968,5446.438260953868,2
726,78986,2945,5435.642352643074,6
727,78984,2950,5427.079424293401,-2
728,78993,2970,5420.529928883396,9
729,79013,2992,5412.068841170592,20
730,79018,2979,5400.864033896105,5
731,79035,2970,5386.913541722679,17
732,79049,2980,5373.8043928781635,14
733,79063,2967,5367.548601814352,14
734,79076,2953,5361.125359610962,13
735,79083,2962,5352.129233350239,7
736,79099,2962,5343.739385691986,16
737,79102,2947,5335.248677202763,3
738,79104,2919,5327.08467092206,2
739,79112,2915,5315.080255218501,8
740,79126,2909,5306.5113766634,14
741,79130,2919,5300.089790573905,4
742,79139,2894,5288.196420317888,9
743,79138,2903,5280.78874031688,-1
744,79158,2902,5268.77731617474,20
745,79171,2868,5258.458371324511,13
746,79192,2837,5254.597338833901,21
747,79204,2842,5248.685730352758,12
748,79205,2814,5238.071924072713,1
749,79209,2788,5225.010730163531,4
750,79211,2821,5219.498041690755,2
751,79230,2850,5210.299372473102,19
752,79238,2812,5199.476694033832,8
753,79256,2783,5192.0817087822115,18
754,79272,2810,5184.199336912545,16
