Timestep,Living Population,Active Infections,Economic Productivity,Population Change
336,82749,2408,47339.474830030405,7
337,82752,2453,47246.19389169345,3
338,82756,2454,47151.73725680137,4
339,82756,2461,47052.80909733024,0
340,82757,2482,46955.29445652837,1
341,82763,2506,46865.563287459074,6
342,82763,2509,46769.58030877382,0
343,82769,2526,46677.34503014575,6
344,82778,2539,46598.60879094766,9
345,82792,2547,46519.025383482185,14
346,82805,2521,46440.27975647999,13
347,82799,2521,46360.39974476966,-6
348,82797,2514,46284.131356838996,-2
349,82794,2536,46207.2161429589,-3
350,82801,2524,46127.90074600946,7
351,82804,2508,46048.22741043629,3
352,82815,2492,45958.60802789698,11
353,82825,2502,45874.74592560745,10
354,82835,2490,45790.84853049914,10
355,82842,2481,45696.59359195672,7
356,82842,2541,45578.92443221735,0
357,82851,2547,45490.83822391263,9
358,82859,2558,45404.58965954667,8
359,82882,2558,45309.84768288343,23
360,82891,2590,45213.343946527384,9
361,82892,2590,45133.90742362015,1
362,82897,2596,45046.266144011446,5
363,82913,2604,44956.00591379085,16
364,82919,2632,44866.33578508194,6
365,82925,2625,44786.70207157339,6
366,82930,2623,44711.726735398544,5
367,82933,2635,44617.01954718069,3
368,82935,2678,44504.38050655694,2
369,82939,2692,44405.38335856217,4
370,82938,2703,44300.96239582258,-1
371,82940,2683,44221.75616259419,2
372,82944,2659,44145.14535968022,4
373,82951,2668,44048.98518459652,7
374,82958,2705,43954.78394776138,7
375,82955,2707,43870.36459460527,-3
376,82969,2714,43791.58718960252,14
377,82967,2715,43702.49074061208,-2
378,82964,2720,43615.52342482753,-3
379,82979,2721,43530.24044838838,15
380,82993,2750,43444.207951249104,14
381,83008,2758,43352.91872326295,15
382,83016,2743,43253.9073835737,8
383,83027,2730,43170.27252885603,11
384,83039,2719,43083.045050281704,12
385,83041,2749,42995.87920644062,2
386,83040,2762,42895.52879703859,-1
387,83045,2772,42803.55821534712,5
388,83052,2779,42701.786090439964,7
389,83059,2792,42606.88781641768,7
390,83064,2786,42526.41620689869,5
391,83068,2753,42453.79419269566,4
392,83069,2779,42370.53820929793,1
393,83078,2783,42276.050141607564,9
394,83080,2782,42196.899007972184,2
395,83085,2805,42099.10822610945,5
396,83095,2852,42002.2934278898,10
397,83101,2856,41905.20079418099,6
398,83105,2849,41815.70749623389,4
399,83108,2862,41717.338242061356,3
400,83108,2871,41626.36700650665,0
401,83122,2878,41530.69990090486,14
402,83121,2869,41455.654865168646,-1
403,83130,2871,41368.90888345171,9
404,83132,2872,41282.94148890901,2
405,83147,2900,41190.275954053854,15
406,83163,2908,41098.18432286419,16
407,83161,2929,41018.52109661886,-2
408,83170,2921,40921.07927339091,9
409,83177,2921,40838.51481571007,7
410,83175,2923,40738.86601079995,-2
411,83183,2911,40650.228062898765,8
412,83188,2908,40549.204218433304,5
413,83186,2929,40458.01012610236,-2
414,83188,2943,40366.656512077585,2
415,83199,2936,40289.95676965988,11
416,83204,2947,40203.85053517047,5
417,83204,2958,40112.74116380252,0
418,83213,2963,40021.9733043272,9
419,83215,2968,39943.17413405814,2
420,83207,2937,39866.338256397794,-8
421,83224,2970,39780.51308447761,17
422,83233,2964,39687.75496084282,9
423,83242,2947,39604.173165722066,9
424,83239,2981,39496.39405752326,-3
425,83244,2998,39405.64404862838,5
426,83255,3008,39323.178460030045,11
427,83264,2996,39240.6776217622,9
428,83275,3037,39139.585284475266,11
429,83276,3081,39041.08135251542,1
430,83286,3079,38954.91423951346,10
431,83282,3117,38844.72906089601,-4
432,83297,3119,38752.79303744381,15
433,83301,3161,38650.73363591641,4
434,83323,3178,38560.04314553837,22
435,83331,3182,38458.91345264142,8
436,83340,3217,38355.924908055225,9
437,83346,3216,38252.75641925139,6
438,83342,3211,38161.033328431906,-4
439,83342,3213,38069.19115010761,0
440,83340,3257,37979.34706359311,-2
441,83336,3292,37864.59549755428,-4
442,83330,3285,37763.32255145135,-6
443,83333,3290,37666.882402167634,3
444,83327,3284,37582.44348319895,-6
445,83320,3300,37492.784426606064,-7
446,83329,3340,37389.61805192321,9
447,83332,3401,37274.43029633619,3
448,83332,3446,37152.36386933693,0
449,83334,3479,37050.50517686357,2
450,83334,3467,36966.38479806024,0
451,83336,3457,36873.28329504959,2
452,83340,3478,36769.72518501926,4
453,83340,3521,36666.20978305622,0
454,83351,3527,36569.84067972915,11
455,83354,3531,36476.0117149649,3
456,83348,3535,36378.198886102975,-6
457,83358,3554,36285.57218911137,10
458,83356,3610,36174.52741189278,-2
459,83347,3605,36080.4134694005,-9
460,83351,3588,35989.431345898054,4
461,83360,3586,35909.524686672055,9
462,83364,3567,35810.08453153799,4
463,83367,3562,35702.38023986011,3
464,83364,3549,35593.56207248866,-3
465,83366,3554,35530.99040689964,2
466,83365,3547,35436.4695080776,-1
467,83368,3557,35343.22027027675,3
468,83374,3585,35254.21862767737,6
469,83379,3593,35170.31905605373,5
470,83394,3603,35085.42310697233,15
471,83402,3612,34998.14005835314,8
472,83409,3562,34917.48080448327,7
473,83410,3570,34835.15632781756,1
474,83412,3569,34736.54250430107,2
475,83425,3597,34642.279509034786,13
476,83419,3576,34542.7711648247,-6
477,83425,3569,34456.585758766385,6
478,83428,3565,34359.77700698275,3
479,83431,3551,34288.85555765468,3
480,83425,3570,34214.97594311815,-6
481,83430,3549,34127.032914439085,5
482,83435,3556,34037.98943906081,5
483,83441,3570,33955.70887602131,6
484,83443,3535,33873.30775657517,2
485,83438,3516,33784.85231015841,-5
486,83439,3513,33698.11555823758,1
487,83446,3532,33603.2696976977,7
488,83442,3531,33520.402817866605,-4
489,83437,3528,33433.58674153338,-5
490,83452,3515,33359.052277094655,15
491,83449,3523,33260.947720134034,-3
492,83454,3524,33173.59062739553,5
493,83460,3513,33089.93228999065,6
494,83458,3512,33006.587438908275,-2
495,83465,3513,32923.70274009615,7
496,83473,3513,32842.6911548341,8
497,83478,3516,32768.841940678925,5
498,83489,3540,32674.776210885266,11
499,83499,3546,32587.965056894518,10
500,83504,3530,32510.526000080525,5
